address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,voting_power,timestamp,author_ipfs_hash,reason
0xbbc2EAa0852173CA8Fb193175f67Db8Aa8700a91,,,,,,,,1,1,5.760184897541664,1712880797,bafkreig6tqoic2kr4aqby7shcobe65c54qv4g4z2vzwdg5cpsr2ra2zmye,""
0x53C40473DcdFd927C4201cCFE24E314a7D7C3584,,,,,,,1,,,0.6889508187127431,1712932724,bafkreigdsmzzmf33iubdivgfwufwp4bh7eahusxzrtocvocbqnjgqkojgi,""
0x20216577f78eE7D6d5b2b962C744a950efc77437,,1,1,,,,,,,17.72126511842232,1712976707,bafkreiecjzj6vvmwu67heoxt7djskjbjgaac2p7une5wzbpne6vtpo5hza,""
0xF5d9CD9bC51a0A59598a5Bcd8eB6440002BE3e64,,2,2,,,,,3,,0.3118816263852785,1713062482,bafkreidsjguilllzkcwkvi26fo4g5qo3zpcmbqxw7sal7tvmkigh3eqibu,""
0x7115b222b2CcdE533A27A75D3E8629832E6DC1e3,,,,,,,,1,,19.198493721492085,1713087168,bafkreibyidl7cxquubgnd7fitd5xiolmzhkzwt25esjig5cn3vpq6qalry,""
0x992dac69827A200BA112A0303Fe8F79F03c37D9d,,,,,,,1,,,150.4863235760081,1713125225,bafkreigrgchonh5n7qp3e44qbdxrcxtgd52jhp73gih55irkpsarvzexcy,""
0x4570d5b4177Cf209944e8E3fB1f2A77021ffD5C5,,,,,,,1,,,35.92641240866621,1713125279,bafkreifgzmyi2cbe3znr6cxasbq6gd7ngv3l2m2qgufe3ls2dragz22mmq,""
0x80E6c4918ce508c08F7e4298f64464044cF79Db7,,33,,66,,,,,,0.6639095014093563,1713240294,bafkreiawposrnljg3awprllpcjasjv6m2yj6bdhvbdmyai4jzewc2nyytu,""
0x20EADfcaf91BD98674FF8fc341D148E1731576A4,,,,2,,,,2,,175.97785853222567,1713255885,bafkreidbhlucteemylpn3eicnsfebcel5nuhcv6vqyybcr3dxyyrier6x4,""
0x029F1c62662CbBfe79CE55B285FeE4E2db081a06,,,,,,,,1,,39.29553067100472,1713283974,bafkreih57mf5cadvbsjsaa5y5eyobcl6m5ra7idbioa3apvlnwggjpmrnu,""
0x4d0bddEc656ED7C3b33AB581b6f14c9ab5C205d4,,,,,,,,,1,293.4041758630701,1713334409,bafkreidimeoy3tuyn76zugeaxmqmjftdmcbf67cpwwqmr3mx5ngqwbzjvi,""
0x6D5a7597896A703Fe8c85775B23395a48f971305,,,,,,,661,,,661.3092381488641,1713336700,bafkreifcyfcp2pyrhddsioz4a73yzlrjrzlggu4ojokbo52k3eljxorwme,""
0x02cA76E87779412a77Ee77C3600D72F68b9ea68C,,,,,,,218,,,217.51121908261572,1713336830,bafkreia46spiy7vacdpxqqck6wxndmzrebre4rw36mgwctzxo2iuqvk5zm,""
0x8C68a0FC20F27532Fe4BF7a41b98746d96bc8B60,,,,,,,100,,,14.004163863080466,1713338350,bafkreigqokilao4ojaycwt4teskcpoaqzbnamowpii47yzzfom2gbupjue,""
0xaE79f0562C2128cC12d0ac068aC288856Fe0e1AB,,,,,,,100,,,0.8217272403892669,1713338417,bafkreidckpwojn535hycvlqogjfwkqut7rxakcuinlnzwyuollz5hbvoha,""
